grandfather/mother;abuelo/a
grandparents;abuelos
coat;abrigo
accordion;acordeón
bathrobe;albornoz
carpet;alfombra
mat;alfombra
anorak;anorak
cupboard;armario de cocina
wardrobe;armario de ropa
harmonica;armónica
harp;arpa
elevator;ascensor
lift;ascensor
sugar bowl;azucarero
balcony;balcón
tray;bandeja
banjo;banjo
bath;bañera
bidet;bidet
folding screen;biombo
great-grandfather/mother;bisabuelo/a
great-grandparents;bisabuelos
blouse;blusa
handbag;bolso
bulb;bombilla
boot;bota
bottle;botella
button;botón
knickers;bragas
scarf;bufanda
sock;calcetín
underpants;calzoncillos
bed;cama
shirt;camisa
t-shirt;camiseta
undershirt;camiseta interior
nightshirt;camisón de hombre
nightdress;camisón de mujer
jacket;chaqueta
belt;cinturón
clarinet;clarinete
kitchen;cocina
cushion;cojín
bedspread;colcha
mattress;colchón
dining room;comedor
freezer;congelador
double bass;contrabajo
tie;corbata
curtain;cortina
painting;cuadro
spoon;cuchara
knife/knives;cuchillo/s
collar;cuello de ropa
brother/sister-in-law;cuñado/a
shampoo;champú
tracksuit;chandal
three-quarter coat;chaquetón
fireplace;chimenea de casa
chimney;chimenea de tejado
cagoule;chubasquero
shower;ducha
electricity;electricidad
encyclopedia;enciclopedia
point;enchufe
socket;enchufe
stairs;escaleras
broom;escoba
mirror;espejo
sponge;esponja
shelf;estante
shelving;estantería
shelves;estanterías
heater;estufa
fire/foam extinguisher;extintor de incendios/espuma
bassoon;fagot
skirt;falda
recorder;flauta dulce
flute;flauta travesera
piccolo;flautín
vase;florero
kitchen sink;fregadero
mop;fregona
raincoat;gabardina
bagpipes;gaita
balcony;galería
hat;gorro
glove;guante
guitar;guitarra
room;habitación
hall;hall
brother;hermano
sister;hermana
son;hijo
daughter;hija
oven;horno
microwave oven;horno microondas
lighting;iluminación
intercom;interfono
soap;jabón
window box;jardinera
jug;jarro/a
vase;jarrón
cage;jaula
jersey;jersey
pullover;jersey
sweater;jersey
toy;juguete
lamp;lámpara
pencil;lápiz
lute;laúd
washbasin;lavabo
washing machine;lavadora
dishwasher;lavavajillas
notebook;libreta
book;libro
skylight;lucernario
magnifying glass;lupa
key;llave
flowerpot;maceta
stepmother;madrastra
mother;madre
godmother;madrina
mandolin;mandolina
apron;mandil
sleeve;manga
blanket;manta
tablecloth;mantel
rocking chair;mecedora
desk;mesa
table;mesa
furniture;mobiliario
backpack;mochila
piece of furniture;mueble
fridge;nevera
oboe;oboe
computer;ordenador
organ;órgano
stepfather;padrastro
father;padre
parents;padres
godfather;padrino
godparents;padrinos
aviary;pajarera
tambourine;pandereta
trousers;pantalones
shorts;pantalones cortos
cloth;paño
handkerchief;pañuelo
paper;papel
wastepaper;papelera
umbrella;paraguas
umbrella stand;paraguero
corridor;pasillo
courtyard;patio
well;patio de luces
fishbowl;pecera
comb;peine
ball;pelota
hanger;percha
clothes rack;perchero
newspaper;periódico
blind;persiana
pyjamas;pijama
dish;plato
plate;plato
soup dish/plate;plato sopero
well;pozo de agua
garment;prenda de vestir
cousin;primo
cousin;prima
radiator;radiador
dustpan;recogedor
watering can;regadera
clock;reloj
watch;reloj
felt tip pen;rotulador
sheet;sábana
salt cellar;salero
living room;salón
lounge;salón
sandal;sandalia
frying pan;sartén
saxophone;saxofón
drier;secador
napkin;servilleta
chair;silla
seat;silla
armchair;sillón
envelope;sobre
nephew;sobrino
niece;sobrina
sofa;sofá
hat;sombrero
sunshade;sombrilla
bra;sostén
basement;sótano
father/mother-in-law;suegro/a
parents-in-law;suegros
stool;taburete
drum;tambor
great-great-grandfather/mother;tatarabuelo/a
great-great-grandparents;tatarabuelos
cup;taza
bowl;tazón
telephone;teléfono
telescope;telescopio
television;televisor
fork;tenedor
thermometer;termómetro
terrace;terraza
uncle;tío
aunt;tía
flowerpot;tiesto
scissors;tijeras
small drum;timbal
towel;toalla
towel rail;toallero
record player;tocadiscos
junk room;trastero
trombone;trombón
horn;trompa
trumpet;trompeta
dishes;vajilla
glass;vaso
weathercock;veleta
window;ventana
large window;ventanal
fan;ventilador
viola;viola
violin;violín
xylophone;xilófono
son/daughter-in-law;yerno/a
sheepskin;zamarra
slipper;zapatilla
trainers;zapatillas de deportes
shoe;zapato
cloy;zueco
wooden shoe;zueco
